id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CHAINGUARD:CVE-2025-22869,"Vulnerabilities for packages: glab, tigera-operator, harbor-fips, cfssl-fips, flux-kustomize-controller, hugo-extended, istio, dex-fips, hcloud, pulumi, gitlab-pages, rancher-webhook, fq, promxy, kube-fluentd-operator, undock, syft-fips, kubernetes-event-exporter, gitlab-rails-ee-fips, dockerize-fip",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Outdated or unpatched third-party components with known vulnerabilities,Exploitation of vulnerabilities in dependencies leading to potential security breaches or system compromise,2025-02-26T08:14:24,7.5,HIGH,vulners,vulnerabilities for packages glab tigeraoperator harborfips cfsslfips fluxkustomizecontroller hugoextended istio dexfips hcloud pulumi gitlabpages rancherwebhook fq promxy kubefluentdoperator undock syftfips kuberneteseventexporter gitlabrailseefips dockerizefip,"Vulnerabilities for packages: glab, tigera-operator, harbor-fips, cfssl-fips, flux-kustomize-controller, hugo-extended, istio, dex-fips, hcloud, pulumi, gitlab-pages, rancher-webhook, fq, promxy, kube-fluentd-operator, undock, syft-fips, kubernetes-event-exporter, gitlab-rails-ee-fips, dockerize-fip",Using Components with Known Vulnerabilities
WOLFI:CVE-2025-22869,"Vulnerabilities for packages: ipfs, kube-vip, kserve, pulumi, kube-metrics-adapter, dynamic-localpv-provisioner, rook, bom, wgcf, neuvector-sigstore-interface, argo-workflows, cloud-provider-aws, op-geth, k8ssandra-client, nginx-prometheus-exporter, trust-manager, oras, loki, go-licenses, terraform-",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or vulnerable versions of components,Exploitation of known vulnerabilities leading to system compromise,2025-02-26T08:14:24,7.5,HIGH,vulners,vulnerabilities for packages ipfs kubevip kserve pulumi kubemetricsadapter dynamiclocalpvprovisioner rook bom wgcf neuvectorsigstoreinterface argoworkflows cloudprovideraws opgeth k8ssandraclient nginxprometheusexporter trustmanager oras loki golicenses terraform,"Vulnerabilities for packages: ipfs, kube-vip, kserve, pulumi, kube-metrics-adapter, dynamic-localpv-provisioner, rook, bom, wgcf, neuvector-sigstore-interface, argo-workflows, cloud-provider-aws, op-geth, k8ssandra-client, nginx-prometheus-exporter, trust-manager, oras, loki, go-licenses, terraform-",Using Components with Known Vulnerabilities
WOLFI:CVE-2025-22868,"Vulnerabilities for packages: ipfs, redis-operator, kube-vip, kserve, wgcf, argocd-image-updater, rook, cortex, neuvector-sigstore-interface, cloud-provider-aws, rabbitmq-cluster-operator, mountpoint-s3-csi-driver, k8ssandra-client, zarf, cluster-proportional-autoscaler, kubernetes-dashboard-metrics",RabbitMQ,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Insecure configurations or vulnerabilities in third-party components,Unauthorized access to sensitive data,2025-02-26T08:14:24,7.5,HIGH,vulners,vulnerabilities for packages ipfs redisoperator kubevip kserve wgcf argocdimageupdater rook cortex neuvectorsigstoreinterface cloudprovideraws rabbitmqclusteroperator mountpoints3csidriver k8ssandraclient zarf clusterproportionalautoscaler kubernetesdashboardmetrics,"Vulnerabilities for packages: ipfs, redis-operator, kube-vip, kserve, wgcf, argocd-image-updater, rook, cortex, neuvector-sigstore-interface, cloud-provider-aws, rabbitmq-cluster-operator, mountpoint-s3-csi-driver, k8ssandra-client, zarf, cluster-proportional-autoscaler, kubernetes-dashboard-metrics",Exposure of Sensitive Information to an Unauthorized Actor
CHAINGUARD:CVE-2025-22868,"Vulnerabilities for packages: aws-application-networking-k8s, azcopy, jaeger-operator, tigera-operator, harbor-fips, addon-resizer, grype, istio, dex-fips, kube-logging-logging-operator, gitlab-pages, rancher-webhook, kserve-modelmesh-serving, kubernetes-csi-external-provisioner-fips, kube-fluentd-o",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or insecure third-party components,Exploitation of known vulnerabilities leading to system compromise,2025-02-26T08:14:24,7.5,HIGH,vulners,vulnerabilities for packages awsapplicationnetworkingk8s azcopy jaegeroperator tigeraoperator harborfips addonresizer grype istio dexfips kubeloggingloggingoperator gitlabpages rancherwebhook kservemodelmeshserving kubernetescsiexternalprovisionerfips kubefluentdo,"Vulnerabilities for packages: aws-application-networking-k8s, azcopy, jaeger-operator, tigera-operator, harbor-fips, addon-resizer, grype, istio, dex-fips, kube-logging-logging-operator, gitlab-pages, rancher-webhook, kserve-modelmesh-serving, kubernetes-csi-external-provisioner-fips, kube-fluentd-o",Using Components with Known Vulnerabilities
WOLFI:GHSA-RR6R-CFGF-GC6H,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or vulnerable third-party components,Exploitation of known vulnerabilities leading to system compromise,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages pulumi ipmasqagent dynamiclocalpvprovisioner s5cmd bom cortex rabbitmqclusteroperator vtcli oras clusterproportionalautoscaler kubernetesdashboardmetricsscraper golicenses loki httpecho nrimemcached terraformdocs kyvernopolicyreporter ,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",Using Components with Known Vulnerabilities
WOLFI:GHSA-5FQ7-4MXC-535H,"Vulnerabilities for packages: ipfs, newrelic-nri-statsd, wgcf, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, trust-manager, vt-cli, oras, loki, kubernetes-dashboard-metrics-scraper, go-licenses, rootlesskit, http-echo, terraform-docs, newrelic-infra-operator, secrets-store-csi-driv",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Outdated or insecure third-party dependencies in multiple components,Exploitation of known vulnerabilities leading to system compromise or data breaches,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages ipfs newrelicnristatsd wgcf ipmasqagent dynamiclocalpvprovisioner s5cmd bom cortex trustmanager vtcli oras loki kubernetesdashboardmetricsscraper golicenses rootlesskit httpecho terraformdocs newrelicinfraoperator secretsstorecsidriv,"Vulnerabilities for packages: ipfs, newrelic-nri-statsd, wgcf, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, trust-manager, vt-cli, oras, loki, kubernetes-dashboard-metrics-scraper, go-licenses, rootlesskit, http-echo, terraform-docs, newrelic-infra-operator, secrets-store-csi-driv",Using Components with Known Vulnerabilities
WOLFI:GHSA-7WRW-R4P8-38RX,"Vulnerabilities for packages: falco-exporter, wgcf, s5cmd, k8ssandra-client, trust-manager, ytt, kaf, gcp-compute-persistent-disk-csi-driver, flux-source-controller, docker-credential-gcr, prometheus-postgres-exporter, prometheus-statsd-exporter, redka, xcaddy, nri-couchbase, fscrypt, glow, azuredis",RabbitMQ,CWE-1104,Use of Unmaintained Third Party Components,Use of outdated or unmaintained dependencies/components,Potential exploitation of unpatched vulnerabilities in third-party components,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages falcoexporter wgcf s5cmd k8ssandraclient trustmanager ytt kaf gcpcomputepersistentdiskcsidriver fluxsourcecontroller dockercredentialgcr prometheuspostgresexporter prometheusstatsdexporter redka xcaddy nricouchbase fscrypt glow azuredis,"Vulnerabilities for packages: falco-exporter, wgcf, s5cmd, k8ssandra-client, trust-manager, ytt, kaf, gcp-compute-persistent-disk-csi-driver, flux-source-controller, docker-credential-gcr, prometheus-postgres-exporter, prometheus-statsd-exporter, redka, xcaddy, nri-couchbase, fscrypt, glow, azuredis",Use of Unmaintained Third Party Components
WOLFI:GHSA-CRQM-PWHX-J97F,"Vulnerabilities for packages: ipfs, wgcf, s5cmd, teleport, rabbitmq-cluster-operator, k8ssandra-client, trust-manager, zarf, ytt, jitsucom-bulker, kaf, syft, flux-source-controller, libnvidia-container, docker-credential-gcr, prometheus-postgres-exporter, nri-haproxy, prometheus-statsd-exporter, red",RabbitMQ,CWE-1035,Inclusion of Vulnerable Third-Party Components,Use of outdated or insecure dependencies/packages,"Potential exploitation leading to system compromise, data breaches, or unauthorized access",2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages ipfs wgcf s5cmd teleport rabbitmqclusteroperator k8ssandraclient trustmanager zarf ytt jitsucombulker kaf syft fluxsourcecontroller libnvidiacontainer dockercredentialgcr prometheuspostgresexporter nrihaproxy prometheusstatsdexporter red,"Vulnerabilities for packages: ipfs, wgcf, s5cmd, teleport, rabbitmq-cluster-operator, k8ssandra-client, trust-manager, zarf, ytt, jitsucom-bulker, kaf, syft, flux-source-controller, libnvidia-container, docker-credential-gcr, prometheus-postgres-exporter, nri-haproxy, prometheus-statsd-exporter, red",Inclusion of Vulnerable Third-Party Components
WOLFI:GHSA-2JWV-JMQ4-4J3R,"Vulnerabilities for packages: ipfs, newrelic-nri-statsd, wgcf, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, trust-manager, vt-cli, oras, loki, kubernetes-dashboard-metrics-scraper, go-licenses, rootlesskit, http-echo, terraform-docs, newrelic-infra-operator, secrets-store-csi-driv",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or unpatched third-party components,Exploitation of known vulnerabilities leading to system compromise or data exposure,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages ipfs newrelicnristatsd wgcf ipmasqagent dynamiclocalpvprovisioner s5cmd bom cortex trustmanager vtcli oras loki kubernetesdashboardmetricsscraper golicenses rootlesskit httpecho terraformdocs newrelicinfraoperator secretsstorecsidriv,"Vulnerabilities for packages: ipfs, newrelic-nri-statsd, wgcf, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, trust-manager, vt-cli, oras, loki, kubernetes-dashboard-metrics-scraper, go-licenses, rootlesskit, http-echo, terraform-docs, newrelic-infra-operator, secrets-store-csi-driv",Using Components with Known Vulnerabilities
WOLFI:GHSA-3Q2C-PVP5-3CQP,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or vulnerable third-party components,Exploitation of known vulnerabilities leading to system compromise,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages pulumi ipmasqagent dynamiclocalpvprovisioner s5cmd bom cortex rabbitmqclusteroperator vtcli oras clusterproportionalautoscaler kubernetesdashboardmetricsscraper golicenses loki httpecho nrimemcached terraformdocs kyvernopolicyreporter ,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",Using Components with Known Vulnerabilities
WOLFI:GHSA-FGQ5-Q76C-GX78,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or vulnerable third-party components,Exploitation of known vulnerabilities leading to system compromise,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages pulumi ipmasqagent dynamiclocalpvprovisioner s5cmd bom cortex rabbitmqclusteroperator vtcli oras clusterproportionalautoscaler kubernetesdashboardmetricsscraper golicenses loki httpecho nrimemcached terraformdocs kyvernopolicyreporter ,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",Using Components with Known Vulnerabilities
WOLFI:GHSA-J6M3-GC37-6R6Q,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Use of outdated or vulnerable third-party components,Exploitation of known vulnerabilities leading to system compromise,2025-02-25T15:16:36,0.0,NONE,vulners,vulnerabilities for packages pulumi ipmasqagent dynamiclocalpvprovisioner s5cmd bom cortex rabbitmqclusteroperator vtcli oras clusterproportionalautoscaler kubernetesdashboardmetricsscraper golicenses loki httpecho nrimemcached terraformdocs kyvernopolicyreporter ,"Vulnerabilities for packages: pulumi, ip-masq-agent, dynamic-localpv-provisioner, s5cmd, bom, cortex, rabbitmq-cluster-operator, vt-cli, oras, cluster-proportional-autoscaler, kubernetes-dashboard-metrics-scraper, go-licenses, loki, http-echo, nri-memcached, terraform-docs, kyverno-policy-reporter, ",Using Components with Known Vulnerabilities
NVD:CVE-2020-13821,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",HiveMQ,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Improper sanitization of the clientid parameter in MQTT packets,Session and cookie theft leading to session hijacking,2020-08-26T16:15:12,5.4,MEDIUM,vulners,an issue was discovered in hivemq broker control center 432 a crafted clientid parameter in an mqtt packet sent to the broker is reflected in the client section of the management console the attackers javascript is loaded in a browser which can lead to theft of the session and cookie of the ,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2020-13821,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",HiveMQ,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Improper sanitization of the clientid parameter in MQTT packets,Session and cookie theft leading to session hijacking,2020-08-26T16:15:12,5.4,MEDIUM,vulners,an issue was discovered in hivemq broker control center 432 a crafted clientid parameter in an mqtt packet sent to the broker is reflected in the client section of the management console the attackers javascript is loaded in a browser which can lead to theft of the session and cookie of the ,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
PRION:CVE-2020-13821,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",HiveMQ,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Improper sanitization of the clientid parameter in MQTT packets,Session and cookie theft leading to session hijacking,2020-08-26T16:15:00,3.5,,vulners,an issue was discovered in hivemq broker control center 432 a crafted clientid parameter in an mqtt packet sent to the broker is reflected in the client section of the management console the attackers javascript is loaded in a browser which can lead to theft of the session and cookie of the ,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVELIST:CVE-2020-13821,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",HiveMQ,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Improper sanitization of the clientid parameter in MQTT packets,Session and cookie theft leading to session hijacking,2020-08-26T15:23:46,0.0,NONE,vulners,an issue was discovered in hivemq broker control center 432 a crafted clientid parameter in an mqtt packet sent to the broker is reflected in the client section of the management console the attackers javascript is loaded in a browser which can lead to theft of the session and cookie of the ,"An issue was discovered in HiveMQ Broker Control Center 4.3.2. A crafted clientid parameter in an MQTT packet (sent to the Broker) is reflected in the client section of the management console. The attacker's JavaScript is loaded in a browser, which can lead to theft of the session and cookie of the ",Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
